_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-26_00-14-23,hr,hr1-116,116,sponsor,John Sarbanes,S001168,MD,Rep.,D,2019-01-03
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Nancy Pelosi,P000197,CA,Rep.,D,2019-01-03
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Alma Adams,A000370,NC,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Colin Allred,A000376,TX,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Nanette Barragán,B001300,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Joyce Beatty,B001281,OH,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Donald Beyer,B001292,VA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Sanford D. Bishop Jr.,B000490,GA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Earl Blumenauer,B000574,OR,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Suzanne Bonamici,B001278,OR,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Brendan Boyle,B001296,PA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Anthony Brown,B001304,MD,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Julia Brownley,B001285,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Cheri Bustos,B001286,IL,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,G. K. Butterfield,B001251,NC,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Salud Carbajal,C001112,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Tony Cárdenas,C001097,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Matt Cartwright,C001090,PA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Ed Case,C001055,HI,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Sean Casten,C001117,IL,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Kathy Castor,C001066,FL,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Judy Chu,C001080,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,David Cicilline,C001084,RI,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Gilbert Cisneros,C001123,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Katherine Clark,C001101,MA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Yvette D. Clarke,C001067,NY,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,William Lacy Clay,C001049,MO,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,James E. Clyburn,C000537,SC,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Steve Cohen,C001068,TN,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Gerald E. Connolly,C001078,VA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Jim Cooper,C000754,TN,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,J. Luis Correa,C001110,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Joe Courtney,C001069,CT,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,TJ Cox,C001124,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Angie Craig,C001119,MN,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Charlie Crist,C001111,FL,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Jason Crow,C001121,CO,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Elijah E. Cummings,C000984,MD,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Sharice Davids,D000629,KS,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Danny K. Davis,D000096,IL,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Susan A. Davis,D000598,CA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Madeleine Dean,D000631,PA,Rep.,D,2019-01-09
2021-02-26_00-14-23,hr,hr1-116,116,cosponsor,Peter A. DeFazio,D000191,OR,Rep.,D,2019-01-09
