_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Reid, Harry",NV,0,Sen,NV0,Reid,,,,,-1
"Begich, Mark",AK,0,Sen,AK0,Begich,,,,,-1
"Bingaman, Jeff",NM,0,Sen,NM0,Bingaman,,,,,-1
"Boxer, Barbara",CA,0,Sen,CA0,Boxer,,,,,-1
"Brown, Sherrod",OH,0,Sen,OH0,Brown,,,,,-1
"Casey, Robert P., Jr.",PA,0,Sen,PA0,Casey,,,,,-1
"Clinton, Hillary Rodham",NY,0,Sen,NY0,Clinton,,,,,-1
"Durbin, Richard",IL,0,Sen,IL0,Durbin,,,,,-1
"Kennedy, Edward M.",MA,0,Sen,MA0,Kennedy,,,,,-1
"Kerry, John F.",MA,0,Sen,MA0,Kerry,,,,,-1
"Klobuchar, Amy",MN,0,Sen,MN0,Klobuchar,,,,,-1
"Lautenberg, Frank R.",NJ,0,Sen,NJ0,Lautenberg,,,,,-1
"Levin, Carl",MI,0,Sen,MI0,Levin,,,,,-1
"Lieberman, Joseph I.",CT,0,Sen,CT0,Lieberman,,,,,-1
"McCaskill, Claire",MO,0,Sen,MO0,McCaskill,,,,,-1
"Menendez, Robert",NJ,0,Sen,NJ0,Menendez,,,,,-1
"Schumer, Charles E.",NY,0,Sen,NY0,Schumer,,,,,-1
"Stabenow, Debbie",MI,0,Sen,MI0,Stabenow,,,,,-1
"Mikulski, Barbara A.",MD,0,Sen,MD0,Mikulski,,,,,-1
"Wyden, Ron",OR,0,Sen,OR0,Wyden,,,,,-1
"Dodd, Christopher J.",CT,0,Sen,CT0,Dodd,,,,,-1
"Harkin, Tom",IA,0,Sen,IA0,Harkin,,,,,-1
"Inouye, Daniel K.",HI,0,Sen,HI0,Inouye,,,,,-1
"Akaka, Daniel K.",HI,0,Sen,HI0,Akaka,,,,,-1
"Shaheen, Jeanne",NH,0,Sen,NH0,Shaheen,,,,,-1
"Feinstein, Dianne",CA,0,Sen,CA0,Feinstein,,,,,-1
"Leahy, Patrick J.",VT,0,Sen,VT0,Leahy,,,,,-1
"Carper, Thomas R.",DE,0,Sen,DE0,Carper,,,,,-1
"Conrad, Kent",ND,0,Sen,ND0,Conrad,,,,,-1
"Brown, Scott P.",MA,0,Sen,MA0,Brown,,,,,-1
"Alexander, Lamar",TN,0,Sen,TN0,Alexander,,,,,-1
"Bennett, Robert F.",UT,0,Sen,UT0,Bennett,,,,,-1
"Chambliss, Saxby",GA,0,Sen,GA0,Chambliss,,,,,-1
"Collins, Susan M.",ME,0,Sen,ME0,Collins,,,,,-1
"Corker, Bob",TN,0,Sen,TN0,Corker,,,,,-1
"Snowe, Olympia J.",ME,0,Sen,ME0,Snowe,,,,,-1
"Voinovich, George V.",OH,0,Sen,OH0,Voinovich,,,,,-1
"Isakson, Johnny",GA,0,Sen,GA0,Isakson,,,,,-1
"Johanns, Mike",NE,0,Sen,NE0,Johanns,,,,,-1
"Brownback, Sam",KS,0,Sen,KS0,Brownback,,,,,-1
"Burr, Richard",NC,0,Sen,NC0,Burr,,,,,-1
"Coburn, Tom",OK,0,Sen,OK0,Coburn,,,,,-1
"Crapo, Mike",ID,0,Sen,ID0,Crapo,,,,,-1
"DeMint, Jim",SC,0,Sen,SC0,DeMint,,,,,-1
"Ensign, John",NV,0,Sen,NV0,Ensign,,,,,-1
"Enzi, Michael B.",WY,0,Sen,WY0,Enzi,,,,,-1
"Graham, Lindsey",SC,0,Sen,SC0,Graham,,,,,-1
"Hatch, Orrin G.",UT,0,Sen,UT0,Hatch,,,,,-1
"Kyl, Jon",AZ,0,Sen,AZ0,Kyl,,,,,-1
"McCain, John",AZ,0,Sen,AZ0,McCain,,,,,-1
"Risch, James E.",ID,0,Sen,ID0,Risch,,,,,-1
"Roberts, Pat",KS,0,Sen,KS0,Roberts,,,,,-1
"Thune, John",SD,0,Sen,SD0,Thune,,,,,-1
"Vitter, David",LA,0,Sen,LA0,Vitter,,,,,-1
"Wicker, Roger F.",MS,0,Sen,MS0,Wicker,,,,,-1
"Baucus, Max",MT,0,Sen,MT0,Baucus,,,,,-1
"Burris, Roland",IL,0,Sen,IL0,Burris,,,,,-1
"Cantwell, Maria",WA,0,Sen,WA0,Cantwell,,,,,-1
"Hagan, Kay R.",NC,0,Sen,NC0,Hagan,,,,,-1
"Murray, Patty",WA,0,Sen,WA0,Murray,,,,,-1
"Reed, Jack",RI,0,Sen,RI0,Reed,,,,,-1
"Sanders, Bernard",VT,0,Sen,VT0,Sanders,,,,,-1
"Tester, Jon",MT,0,Sen,MT0,Tester,,,,,-1
"Whitehouse, Sheldon",RI,0,Sen,RI0,Whitehouse,,,,,-1
"Nelson, Bill",FL,0,Sen,FL0,Nelson,,,,,-1
"Rockefeller, John D., IV",WV,0,Sen,WV0,Rockefeller,,,,,-1
"Lincoln, Blanche L.",AR,0,Sen,AR0,Lincoln,,,,,-1
"Dorgan, Byron L.",ND,0,Sen,ND0,Dorgan,,,,,-1
"Bayh, Evan",IN,0,Sen,IN0,Bayh,,,,,-1
