_action_text,_bill,_committees,_date,_status,_time,_type
Referred to the House Committee on Ways and Means.,hr1,HSWM,2014-01-10,INTRODUCED,,referral
Sponsor introductory remarks on measure.,hr1,,2014-01-12,,,action
"Referred to the Committee on Natural Resources, and in addition to the Committees on Energy and Commerce, Transportation and Infrastructure, the Judiciary, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr2,HSII,2014-01-15,INTRODUCED,,referral
Referred to House Natural Resources,hr2,HSII,2014-01-15,,,referral
Referred to House Energy and Commerce,hr2,HSIF,2014-01-15,,,referral
Referred to House Transportation and Infrastructure,hr2,HSPW,2014-01-15,,,referral
Referred to House Judiciary,hr2,HSJU,2014-01-15,,,referral
"Referred to House Science, Space, and Technology",hr2,HSSY,2014-01-15,,,referral
"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law.",hr2,,2014-01-16,,,referral
"Rules Committee Resolution H. Res. 727 Reported to House. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Resolution provides that each bill may be debatable for 2 hours, equally divided and controlled by the chair and ranking member of their respective committees. The bills shall be considered as read, all points of order agains the provisions of the bill are waived, and each bill is provided with one motion to recommit.",hr2,HSRU,2014-01-16,,18:19:00,action
Mr. Hastings (WA) asked unanimous consent that the question of adopting a motion to recommit on H.R. 2 may be subject to postponement as though under clause 8 of rule 20. Agreed to without objection.,hr2,,2014-01-18,,15:26:00,action
Considered under the provisions of rule H. Res. 727.,hr2,,2014-01-18,,15:27:00,action
"Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Resolution provides that each bill may be debatable for 2 hours, equally divided and controlled by the chair and ranking member of their respective committees. The bills shall be considered as read, all points of order agains the provisions of the bill are waived, and each bill is provided with one motion to recommit.",hr2,,2014-01-18,,15:27:00,action
DEBATE - The House proceeded with two hours of debate on H.R. 2.,hr2,,2014-01-18,,15:28:00,action
The previous question was ordered pursuant to the rule.,hr2,,2014-01-18,,17:12:00,action
Mr. Schneider moved to recommit with instructions to the Committee on Natural Resources.,hr2,HSII,2014-01-18,,17:12:00,action
"DEBATE - The House proceeded with 10 minutes of debate on the Schneider motion to recommit with instructions. The instructions contained in the motion seek to require the bill to be reported back to the House with an amendment to add a new division at the end of the bill. The new division contains provisions to police excessive speculation in energy markets, protect national security, and prohibit expedited permitting for corporations that relase toxic air pollutants from petroleum coke.",hr2,,2014-01-18,,17:14:00,action
The previous question on the motion to recommit with instructions was ordered without objection.,hr2,,2014-01-18,,17:20:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the motion to recommit, the Chair put the question on the motion and by voice vote, announced that the ayes had prevailed. Mr. Schneider demanded the yeas and nays and pursuant to the order of the House of September 18, 2014, the Chair announced that further proceedings would be postponed.",hr2,,2014-01-18,,17:20:00,action
Considered as unfinished business.,hr2,,2014-01-18,,18:48:00,action
On motion to recommit with instructions Failed by the Yeas and Nays: 193 - 222 (Roll no. 514).,hr2,,2014-01-18,,18:54:00,action
Motion to reconsider laid on the table Agreed to without objection.,hr2,,2014-01-18,,19:01:00,action
On passage Passed by the Yeas and Nays: 226 - 191 (Roll no. 515).,hr2,,2014-01-18,PASS_OVER:HOUSE,19:01:00,vote
Referred to the Subcommittee on Energy and Power.,hr2,,2014-01-19,,,referral
Received in the Senate.,hr2,,2014-01-12,,,action
Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,hr2,,2014-01-13,,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 601.,hr2,,2014-01-17,,,calendar
"Referred to the Committee on Transportation and Infrastructure, and in addition to the Committees on Energy and Commerce, and Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr3,HSPW,2013-01-15,INTRODUCED,,referral
Referred to House Transportation and Infrastructure,hr3,HSPW,2013-01-15,,,referral
Referred to House Energy and Commerce,hr3,HSIF,2013-01-15,,,referral
Referred to House Natural Resources,hr3,HSII,2013-01-15,,,referral
Referred to the Subcommittee on Energy and Power.,hr3,,2013-01-22,,,referral
Referred to the Subcommittee on Energy and Mineral Resources.,hr3,,2013-01-25,,,referral
Referred to the Subcommittee on Public Lands and Environmental Regulation.,hr3,,2013-01-25,,,referral
"Referred to the Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs.",hr3,,2013-01-25,,,referral
Subcommittee Hearings Held.,hr3,,2013-01-16,,,action
Committee Consideration and Mark-up Session Held.,hr3,,2013-01-17,,,action
Ordered to be Reported by the Yeas and Nays: 30 - 18.,hr3,,2013-01-17,REPORTED,,calendar
Subcommittee Consideration and Mark-up Session Held.,hr3,,2013-01-24,,,action
Subcommittee on Energy and Mineral Resources Discharged.,hr3,,2013-01-24,,,action
Committee Consideration and Mark-up Session Held.,hr3,,2013-01-24,,,action
Ordered to be Reported by the Yeas and Nays: 24 - 17.,hr3,,2013-01-24,,,calendar
Committee Consideration and Mark-up Session Held.,hr3,,2013-01-16,,,action
Ordered to be Reported (Amended) by the Yeas and Nays: 33 - 24.,hr3,,2013-01-16,,,calendar
"Reported by the Committee on Energy and Commerce. H. Rept. 113-61, Part I.",hr3,HSIF,2013-01-17,,12:27:00,action
"Reported by the Committee on Natural Resources. H. Rept. 113-61, Part II.",hr3,HSII,2013-01-17,,14:29:00,action
"Reported by the Committee on Transportation and Infrastructure. H. Rept. 113-61, Part III.",hr3,HSPW,2013-01-17,,14:31:00,action
"Placed on the Union Calendar, Calendar No. 40.",hr3,,2013-01-17,,14:32:00,calendar
Rules Committee Resolution H. Res. 228 Reported to House. Rule provides for consideration of H.R. 3 with 1 hour and 30 minutes of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be considered read. Specified amendments are in order.,hr3,HSRU,2013-01-21,,17:15:00,action
Rule H. Res. 228 passed House.,hr3,,2013-01-22,,14:15:00,action
Considered under the provisions of rule H. Res. 228.,hr3,,2013-01-22,,14:16:00,action
Rule provides for consideration of H.R. 3 with 1 hour and 30 minutes of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be considered read. Specified amendments are in order.,hr3,,2013-01-22,,14:16:00,action
House resolved itself into the Committee of the Whole House on the state of the Union pursuant to H. Res. 228 and Rule XVIII.,hr3,,2013-01-22,,14:16:00,action
The Speaker designated the Honorable Steve Womack to act as Chairman of the Committee.,hr3,,2013-01-22,,14:16:00,action
GENERAL DEBATE - The Committee of the Whole proceeded with 90 minutes of general debate on H.R. 3.,hr3,,2013-01-22,,14:17:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Weber(TX) amendment No. 1.",hr3,,2013-01-22,,16:04:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Weber amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the ayes had prevailed. Mr. Weber demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:15:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Waxman amendment No. 2.",hr3,,2013-01-22,,16:16:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Waxman amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Waxman demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:24:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Johnson(GA) amendment No. 3.",hr3,,2013-01-22,,16:25:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Johnson (GA) amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Johnson (GA) demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:30:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Connolly amendment No. 4.",hr3,,2013-01-22,,16:32:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Connolly amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Connolly demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:37:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Rahall amendment No. 5.",hr3,,2013-01-22,,16:38:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Rahall amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Rahall demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:47:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Esty amendment No. 6.",hr3,,2013-01-22,,16:48:00,action
