_action_text,_bill,_committees,_date,_status,_time,_type
Read twice and referred to the Committee on Finance.,s1,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s2,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s3,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s4,SSFI,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s5,SSHR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s6,SSJU,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s7,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Foreign Relations.,s8,SSFR,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Rules and Administration.,s9,SSRA,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s10,SSHR,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s11,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s11,SSFI,2011-01-25,REFERRED,,referral
Read twice and referred to the Committee on Finance.,s12,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s13,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s14,SSGA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s15,SSEV,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s16,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s17,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s18,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s19,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s20,SSFI,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s21,SSGA,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s22,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s23,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s23,SSJU,2011-01-25,REFERRED,,referral
Committee on the Judiciary. Ordered to be reported with amendments favorably.,s23,SSJU,2011-01-03,REPORTED,,calendar
Committee on the Judiciary. Reported by Senator Leahy with amendments. Without written report.,s23,SSJU,2011-01-03,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 6.,s23,,2011-01-03,,,calendar
Measure laid before Senate by unanimous consent.,s23,,2011-01-28,,,action
The committee reported amendments were agreed to by Unanimous Consent.,s23,,2011-01-28,,,action
Considered by Senate.,s23,,2011-01-01,,,action
Considered by Senate.,s23,,2011-01-02,,,action
Considered by Senate.,s23,,2011-01-03,,,action
Cloture motion on the bill presented in Senate.,s23,,2011-01-03,,,action
Cloture invoked in Senate by Yea-Nay Vote. 87 - 3. Record Vote Number: 34.,s23,,2011-01-07,,,vote-aux
Considered by Senate.,s23,,2011-01-07,,,action
Considered by Senate.,s23,,2011-01-08,,,action
Passed Senate with amendments by Yea-Nay. 95 - 5. Record Vote Number: 35.,s23,,2011-01-08,PASS_OVER:SENATE,,vote
Received in the House.,s23,,2011-01-09,,10:03:00,action
Message on Senate action sent to the House.,s23,,2011-01-09,,,action
Held at the desk.,s23,,2011-01-09,,17:58:00,action
Read twice and referred to the Committee on Finance.,s24,SSFI,2011-01-25,INTRODUCED,,referral
"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",s25,HSAG,2011-01-25,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s26,SSFI,2011-01-25,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s27,,2011-01-25,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s27,SSJU,2011-01-25,REFERRED,,referral
Committee on the Judiciary. Ordered to be reported without amendment favorably.,s27,SSJU,2011-01-21,REPORTED,,calendar
Committee on the Judiciary. Reported by Senator Leahy without amendment. Without written report.,s27,SSJU,2011-01-22,,,reported
