_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
1,2014-01-10 00:12:00,To amend the Internal Revenue Code of 1986 to provide for comprehensive tax reform.,False,False,113,Tax Reform Act of 2014,REFERRED,Taxation,hr
2,2014-01-15 00:09:00,"To remove Federal Government obstacles to the production of more domestic energy; to ensure transport of that energy reliably to businesses, consumers, and other end users; to lower the cost of energy to consumers; to enable manufacturers and other businesses to access domestically produced energy affordably and reliably in order to create and sustain more secure and well-paying American jobs; and for other purposes.",True,False,113,American Energy Solutions for Lower Costs and More American Jobs Act,PASS_OVER:HOUSE,Energy,hr
3,2013-01-15 00:03:00,"To approve the construction, operation, and maintenance of the Keystone XL pipeline, and for other purposes.",True,False,113,Northern Route Approval Act,PASS_OVER:HOUSE,Energy,hr
4,2014-01-15 00:09:00,"To make revisions to Federal law to improve the conditions necessary for economic growth and job creation, and for other purposes.",True,False,113,Jobs for America Act,PASS_OVER:HOUSE,Economics and public finance,hr
5,2013-01-06 00:06:00,"To support State and local accountability for public education, protect State and local authority, inform parents of the performance of their children's schools, and for other purposes.",True,False,113,Student Success Act,PASS_OVER:HOUSE,Education,hr
6,2014-01-06 00:03:00,"To provide for expedited approval of exportation of natural gas to World Trade Organization countries, and for other purposes.",True,False,113,Domestic Prosperity and Global Freedom Act,PASS_OVER:HOUSE,Energy,hr
7,2013-01-14 00:05:00,To prohibit taxpayer funded abortions.,True,False,113,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2014,PASS_OVER:HOUSE,Health,hr
10,2014-01-01 00:04:00,To amend the charter school program under the Elementary and Secondary Education Act of 1965.,True,False,113,Success and Opportunity through Quality Charter Schools Act,PASS_OVER:HOUSE,Education,hr
11,2013-01-22 00:01:00,To reauthorize the Violence Against Women Act of 1994.,False,False,113,Violence Against Women Reauthorization Act of 2013,REFERRED,Crime and law enforcement,hr
12,2013-01-23 00:01:00,"To modernize voter registration, promote access to voting for individuals with disabilities, protect the ability of individuals to exercise the right to vote in elections for Federal office, and for other purposes.",False,False,113,Voter Empowerment Act of 2013,REFERRED,Government operations and politics,hr
15,2013-01-02 00:10:00,To provide for comprehensive immigration reform and for other purposes.,False,False,113,"Border Security, Economic Opportunity, and Immigration Modernization Act",REFERRED,Immigration,hr
20,2014-01-05 00:02:00,"To reform the financing of Congressional elections by broadening participation by small dollar donors, and for other purposes.",False,False,113,Government By the People Act of 2014,REFERRED,Government operations and politics,hr
